"filename", "language", "JavaScript", "CSS", "comment", "blank", "total"
"/Volumes/AJDWS/WorkSpace/Websites/angelo/src/components/modals/ConfirmPrompt.module.css", "CSS", 0, 20, 0, 6, 26
"/Volumes/AJDWS/WorkSpace/Websites/angelo/src/components/modals/Modal.js", "JavaScript", 19, 0, 0, 4, 23
"/Volumes/AJDWS/WorkSpace/Websites/angelo/src/components/modals/Modal.module.css", "CSS", 0, 25, 0, 4, 29
"/Volumes/AJDWS/WorkSpace/Websites/angelo/src/components/projects/list/NewProject.js", "JavaScript", 121, 0, 0, 20, 141
"/Volumes/AJDWS/WorkSpace/Websites/angelo/src/components/projects/list/NewProject.module.css", "CSS", 0, 41, 0, 8, 49
"/Volumes/AJDWS/WorkSpace/Websites/angelo/src/components/projects/list/ProjectItem.js", "JavaScript", 72, 0, 0, 12, 84
"/Volumes/AJDWS/WorkSpace/Websites/angelo/src/components/projects/list/ProjectList.js", "JavaScript", 27, 0, 0, 8, 35
"/Volumes/AJDWS/WorkSpace/Websites/angelo/src/components/projects/list/ProjectList.module.css", "CSS", 0, 71, 2, 15, 88
"/Volumes/AJDWS/WorkSpace/Websites/angelo/src/components/projects/list/ProjectListEditor.js", "JavaScript", 84, 0, 2, 19, 105
"/Volumes/AJDWS/WorkSpace/Websites/angelo/src/components/projects/list/ProjectListEditor.module.css", "CSS", 0, 13, 0, 2, 15
"/Volumes/AJDWS/WorkSpace/Websites/angelo/src/components/projects/list/ProjectsFilter.js", "JavaScript", 4, 0, 0, 2, 6
"/Volumes/AJDWS/WorkSpace/Websites/angelo/src/components/projects/project/ProjectEditor.js", "JavaScript", 64, 0, 0, 11, 75
"/Volumes/AJDWS/WorkSpace/Websites/angelo/src/components/projects/project/ProjectEditor.module.css", "CSS", 0, 13, 0, 4, 17
"/Volumes/AJDWS/WorkSpace/Websites/angelo/src/components/projects/project/ProjectHeader.js", "JavaScript", 19, 0, 0, 4, 23
"/Volumes/AJDWS/WorkSpace/Websites/angelo/src/components/projects/project/ProjectHeader.module.css", "CSS", 0, 8, 0, 1, 9
"/Volumes/AJDWS/WorkSpace/Websites/angelo/src/components/projects/project/content/Blog.js", "JavaScript", 79, 0, 0, 17, 96
"/Volumes/AJDWS/WorkSpace/Websites/angelo/src/components/projects/project/content/Blog.module.css", "CSS", 0, 62, 1, 14, 77
"/Volumes/AJDWS/WorkSpace/Websites/angelo/src/components/projects/project/content/BlogForm.js", "JavaScript", 82, 0, 0, 20, 102
"/Volumes/AJDWS/WorkSpace/Websites/angelo/src/components/projects/project/content/BlogForm.module.css", "CSS", 0, 28, 0, 6, 34
"/Volumes/AJDWS/WorkSpace/Websites/angelo/src/components/projects/project/content/Content.js", "JavaScript", 23, 0, 0, 10, 33
"/Volumes/AJDWS/WorkSpace/Websites/angelo/src/components/projects/project/content/Content.module.css", "CSS", 0, 5, 0, 1, 6
"/Volumes/AJDWS/WorkSpace/Websites/angelo/src/components/projects/project/content/Module.js", "JavaScript", 33, 0, 0, 6, 39
"/Volumes/AJDWS/WorkSpace/Websites/angelo/src/components/projects/project/content/Module.module.css", "CSS", 0, 3, 0, 1, 4
"/Volumes/AJDWS/WorkSpace/Websites/angelo/src/components/projects/project/content/ModuleForm.js", "JavaScript", 17, 0, 0, 4, 21
"/Volumes/AJDWS/WorkSpace/Websites/angelo/src/components/projects/project/content/ModuleForm.module.css", "CSS", 0, 0, 0, 1, 1
"/Volumes/AJDWS/WorkSpace/Websites/angelo/src/components/projects/project/overview/OverviewEditor.js", "JavaScript", 127, 0, 0, 22, 149
"/Volumes/AJDWS/WorkSpace/Websites/angelo/src/components/projects/project/overview/OverviewEditor.module.css", "CSS", 0, 44, 0, 9, 53
"/Volumes/AJDWS/WorkSpace/Websites/angelo/src/components/projects/project/overview/ProjectOverView.js", "JavaScript", 87, 0, 0, 16, 103
"/Volumes/AJDWS/WorkSpace/Websites/angelo/src/components/projects/project/overview/ProjectOverView.module.css", "CSS", 0, 113, 0, 22, 135
"/Volumes/AJDWS/WorkSpace/Websites/angelo/src/components/projects/project/routing/ContentForm.js", "JavaScript", 103, 0, 0, 18, 121
